05-08 19:44:43.137  9792  9812 I TestRunner: started: insertAndQuery5kSubjects(com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark)
05-08 19:44:45.136  9792  9812 I option1 : Benchmark option 1...
05-08 19:44:45.146  9792  9812 I option1 : 0 KB
05-08 19:44:47.401  9792  9812 I option1 : Insert time: 2254 ms
05-08 19:44:47.402  9792  9812 I option1 : 45512 KB
05-08 19:44:48.421  9792  9812 D Benchmark: -- Running com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark#insertAndQuery5kSubjects --
05-08 19:44:53.340  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:53.436  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:53.436  9792  9812 I option1 : 17, 324
05-08 19:44:53.454  9792  9812 I option1 : Count result: 10000
05-08 19:44:53.491  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:53.529  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:53.592  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:53.689  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:53.785  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:53.785  9792  9812 I option1 : 17, 331
05-08 19:44:53.803  9792  9812 I option1 : Count result: 10000
05-08 19:44:53.841  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:53.879  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:53.942  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:54.038  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:54.132  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:54.132  9792  9812 I option1 : 17, 329
05-08 19:44:54.150  9792  9812 I option1 : Count result: 10000
05-08 19:44:54.186  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:54.225  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:54.290  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:54.386  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:54.480  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:54.480  9792  9812 I option1 : 17, 330
05-08 19:44:54.498  9792  9812 I option1 : Count result: 10000
05-08 19:44:54.534  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:54.573  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:54.638  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:54.735  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:54.829  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:54.829  9792  9812 I option1 : 17, 331
05-08 19:44:54.847  9792  9812 I option1 : Count result: 10000
05-08 19:44:54.883  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:54.922  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:54.985  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:55.079  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:55.174  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:55.174  9792  9812 I option1 : 18, 327
05-08 19:44:55.191  9792  9812 I option1 : Count result: 10000
05-08 19:44:55.228  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
