19,336
12,332
13,332
13,336
13,334
12,337
13,339
13,341
13,343
13,341
13,346
12,341
13,345
13,344
13,351
12,343
13,351
12,352
14,350
13,351
13,350
13,352
13,349
12,348
13,353
13,349
14,352
13,351
13,350
12,348
14,352
13,347
14,350
13,346
14,349
13,349
14,349
13,349
14,350
13,356
13,349
13,350
14,351
13,350
13,351
13,350
13,353
13,348
14,352
13,350
14,351
13,350
14,351
14,349
14,356
14,353
13,351
13,351
13,351
14,356
13,355
13,354
13,355
13,351
13,354
13,350
14,350
14,351
14,357
13,349
14,356
13,354
14,352
13,353
14,357
13,351
14,355
12,353
13,354
14,353
16,690
16,369
13,362
13,360
14,358
13,352
